#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7211100721e+01    2.9654253935e+02   -3.0674713038e+01    1.3463612316e+01    1.6870957477e+01   -5.6453510165e+01    1.9270764036e+00    6.9807632464e+00    6.4000000000e+02    1.2437874665e-02    5.9854492188e-01
         1   -1.7203973721e+01    2.9631800142e+02   -3.1040526008e+01    1.3836552287e+01    1.7233053441e+01   -5.7012188384e+01    1.7578456877e+00    6.9807632464e+00    6.4000000000e+02    1.2464957991e-02    5.9750976563e-01
         2   -1.7275555787e+01    2.9879985776e+02   -3.0946351154e+01    1.3670795367e+01    1.7144774572e+01   -5.6994173702e+01    1.9222847290e+00    6.9807632464e+00    6.4000000000e+02    1.2490717625e-02    5.9576171875e-01
         3   -1.7239440935e+01    2.9742152764e+02   -3.1028544249e+01    1.3789103314e+01    1.7238664567e+01   -5.7184714398e+01    1.9367423359e+00    6.9807632464e+00    6.4000000000e+02    1.2467606241e-02    5.9452148437e-01
         4   -1.7232401723e+01    2.9717901861e+02   -3.0554195004e+01    1.3321793281e+01    1.6974684389e+01   -5.6142821782e+01    1.6331791426e+00    6.9807632464e+00    6.4000000000e+02    1.2460454316e-02    5.9860351563e-01
         5   -1.7227013400e+01    2.9699869842e+02   -3.0851226189e+01    1.3624212789e+01    1.7172270420e+01   -5.7019305022e+01    2.0150451658e+00    6.9807632464e+00    6.4000000000e+02    1.2453991550e-02    5.9756835937e-01
         6   -1.7227828862e+01    2.9705661044e+02   -3.1043911206e+01    1.3816082344e+01    1.6876421375e+01   -5.6673835465e+01    1.7727396377e+00    6.9807632464e+00    6.4000000000e+02    1.2457290272e-02    5.9574218750e-01
         7   -1.7237787052e+01    2.9735148139e+02   -3.0622430851e+01    1.3384643799e+01    1.7198055901e+01   -5.6986731972e+01    2.1854819736e+00    6.9807632464e+00    6.4000000000e+02    1.2468723207e-02    5.9777343750e-01
         8   -1.7280638863e+01    2.9885291621e+02   -3.0600477597e+01    1.3319838734e+01    1.7024941533e+01   -5.6537352545e+01    1.9311701692e+00    6.9807632464e+00    6.4000000000e+02    1.2464350310e-02    5.9499023437e-01
         9   -1.7264955177e+01    2.9831416925e+02   -3.0926862257e+01    1.3661907079e+01    1.7021094218e+01   -5.6879418743e+01    1.9506990223e+00    6.9807632464e+00    6.4000000000e+02    1.2472170147e-02    5.9875000000e-01
        10   -1.7244062989e+01    2.9758056142e+02   -3.0913019875e+01    1.3668956886e+01    1.7043336031e+01   -5.6909090367e+01    1.9719712142e+00    6.9807632464e+00    6.4000000000e+02    1.2479151956e-02    5.9770507813e-01
        11   -1.7232601067e+01    2.9722245855e+02   -3.1033665522e+01    1.3801064455e+01    1.7354312837e+01   -5.7323571671e+01    1.9548300651e+00    6.9807632464e+00    6.4000000000e+02    1.2491629431e-02    5.9463867188e-01
        12   -1.7243589033e+01    2.9761052410e+02   -3.1361265384e+01    1.4117676351e+01    1.7085958401e+01   -5.7300065617e+01    1.8720785862e+00    6.9807632464e+00    6.4000000000e+02    1.2488180963e-02    5.9484375000e-01
