#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7027027377e+01    2.9339753738e+02   -3.0211888580e+01    1.3184861203e+01    1.7526851533e+01   -5.6657852188e+01    1.9383488292e+00    6.9807632464e+00    6.4000000000e+02    3.2982393999e-03    6.0899414063e-01
         1   -1.7041001703e+01    2.9249668459e+02   -3.0895567182e+01    1.3854565480e+01    1.7858333716e+01   -5.8046076672e+01    2.3114125264e+00    6.9807632464e+00    6.4000000000e+02    3.3503881782e-03    6.0230468750e-01
         2   -1.6827319207e+01    2.8631040505e+02   -3.0208877969e+01    1.3381558762e+01    1.7727172710e+01   -5.6704650036e+01    1.7878361102e+00    6.9807632464e+00    6.4000000000e+02    3.2733663096e-03    6.0723632813e-01
         3   -1.6986245042e+01    2.9102381812e+02   -3.0392895452e+01    1.3406650410e+01    1.7655991855e+01   -5.7108202920e+01    2.0785523668e+00    6.9807632464e+00    6.4000000000e+02    3.3083238814e-03    6.0537109375e-01
         4   -1.6960065351e+01    2.9134970092e+02   -3.0513237265e+01    1.3553171914e+01    1.7708841025e+01   -5.6758313312e+01    1.5554717745e+00    6.9807632464e+00    6.4000000000e+02    3.3382190405e-03    6.0239257812e-01
         5   -1.6976843707e+01    2.9181978919e+02   -3.0775716783e+01    1.3798873075e+01    1.7675671029e+01   -5.6851480206e+01    1.4193291476e+00    6.9807632464e+00    6.4000000000e+02    3.2587971783e-03    6.0102539063e-01
         6   -1.7060716890e+01    2.9325531187e+02   -3.0206174827e+01    1.3145457937e+01    1.7463435390e+01   -5.6538827231e+01    1.8884537678e+00    6.9807632464e+00    6.4000000000e+02    3.3372097746e-03    6.0760742188e-01
         7   -1.6937674905e+01    2.8952834706e+02   -3.0252518686e+01    1.3314843781e+01    1.7621008263e+01   -5.6800709505e+01    1.9464193093e+00    6.9807632464e+00    6.4000000000e+02    3.3064242530e-03    6.0434570312e-01
         8   -1.6983306597e+01    2.9092247702e+02   -3.0462490655e+01    1.3479184058e+01    1.7518434774e+01   -5.6708299267e+01    1.7466105913e+00    6.9807632464e+00    6.4000000000e+02    3.2731885872e-03    6.0550781250e-01
         9   -1.7087041495e+01    2.9476099613e+02   -3.0362702496e+01    1.3275661001e+01    1.7467306476e+01   -5.6710626174e+01    1.8998539563e+00    6.9807632464e+00    6.4000000000e+02    3.3369571219e-03    6.0952148437e-01
        10   -1.6887745225e+01    2.8794291153e+02   -3.0522522655e+01    1.3634777430e+01    1.7860873679e+01   -5.7605990468e+01    2.2418308881e+00    6.9807632464e+00    6.4000000000e+02    3.2662608371e-03    6.0001953125e-01
        11   -1.7011037362e+01    2.9160382617e+02   -3.0159018493e+01    1.3147981131e+01    1.7552283094e+01   -5.6565696055e+01    1.8736312215e+00    6.9807632464e+00    6.4000000000e+02    3.3070984782e-03    6.0776367187e-01
        12   -1.7012720932e+01    2.9188481265e+02   -3.0580462012e+01    1.3567741079e+01    1.7565102106e+01   -5.7009578676e+01    1.8832513122e+00    6.9807632464e+00    6.4000000000e+02    3.3334407377e-03    6.0145507813e-01
        13   -1.6865070852e+01    2.8945552118e+02   -3.0168313308e+01    1.3303242456e+01    1.7851442284e+01   -5.6850844591e+01    1.8503257517e+00    6.9807632464e+00    6.4000000000e+02    3.2746553970e-03    6.0089843750e-01
