#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7252923916e+01    2.9780950052e+02   -3.1058206655e+01    1.3805282738e+01    1.6993631514e+01   -5.6850515622e+01    1.8179142070e+00    6.9807632464e+00    6.4000000000e+02    1.2622985913e-02    6.0131835938e-01
         1   -1.7226267736e+01    2.9694641153e+02   -3.0682538674e+01    1.3456270938e+01    1.7136110027e+01   -5.6578401050e+01    1.7789891018e+00    6.9807632464e+00    6.4000000000e+02    1.2531861406e-02    5.9636718750e-01
         2   -1.7275022725e+01    2.9856703099e+02   -3.0655693289e+01    1.3380670564e+01    1.6831232716e+01   -5.6357921830e+01    1.8902325789e+00    6.9807632464e+00    6.4000000000e+02    1.2461503208e-02    5.9639648437e-01
         3   -1.7287677561e+01    2.9912722489e+02   -3.0288856023e+01    1.3001178462e+01    1.6991353393e+01   -5.6794636491e+01    2.5336638280e+00    6.9807632464e+00    6.4000000000e+02    1.2469074353e-02    5.9850585938e-01
         4   -1.7257799968e+01    2.9804742812e+02   -3.1016376674e+01    1.3758576706e+01    1.6957592504e+01   -5.6740895217e+01    1.7861627925e+00    6.9807632464e+00    6.4000000000e+02    1.2465996763e-02    5.9798828125e-01
         5   -1.7242699652e+01    2.9755353064e+02   -3.1172673037e+01    1.3929973385e+01    1.6960161206e+01   -5.7204225412e+01    2.0906279220e+00    6.9807632464e+00    6.4000000000e+02    1.2469881441e-02    5.9812500000e-01
         6   -1.7239184982e+01    2.9741340367e+02   -3.1156426252e+01    1.3917241270e+01    1.7150164549e+01   -5.6694186473e+01    1.4068324256e+00    6.9807632464e+00    6.4000000000e+02    1.2463294603e-02    5.9767578125e-01
         7   -1.7239646113e+01    2.9755960141e+02   -3.0462564459e+01    1.3222918346e+01    1.7140870127e+01   -5.6426102006e+01    1.8419041736e+00    6.9807632464e+00    6.4000000000e+02    1.2476540169e-02    5.9782226562e-01
         8   -1.7226260910e+01    2.9694477334e+02   -3.1185015746e+01    1.3958754836e+01    1.7033575905e+01   -5.7156875796e+01    1.9575208985e+00    6.9807632464e+00    6.4000000000e+02    1.2466058275e-02    5.9747070313e-01
         9   -1.7242282601e+01    2.9752570850e+02   -3.0618310716e+01    1.3376028115e+01    1.7087706615e+01   -5.6825108147e+01    2.1383275694e+00    6.9807632464e+00    6.4000000000e+02    1.2460802413e-02    5.9874023438e-01
        10   -1.7251682818e+01    2.9781002125e+02   -3.0995650799e+01    1.3743967980e+01    1.7060939721e+01   -5.6684081970e+01    1.6467282039e+00    6.9807632464e+00    6.4000000000e+02    1.2448292738e-02    5.9388671875e-01
        11   -1.7257199901e+01    2.9807250917e+02   -3.0699430730e+01    1.3442230829e+01    1.7015960317e+01   -5.6950823253e+01    2.2546689591e+00    6.9807632464e+00    6.4000000000e+02    1.2470631035e-02    5.9586914063e-01
        12   -1.7275638434e+01    2.9865950024e+02   -3.1156838234e+01    1.3881199799e+01    1.7135008250e+01   -5.7121386129e+01    1.8487763987e+00    6.9807632464e+00    6.4000000000e+02    1.2466005522e-02    5.9638671875e-01
        13   -1.7206774507e+01    2.9638477124e+02   -3.1200675256e+01    1.3993900749e+01    1.7139028845e+01   -5.7460031573e+01    2.1395642254e+00    6.9807632464e+00    6.4000000000e+02    1.2475984935e-02    5.9932617188e-01
