#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7249343901e+01    2.9776061223e+02   -3.0527296053e+01    1.3277952153e+01    1.6987180940e+01   -5.6515154242e+01    2.0199140017e+00    6.9807632464e+00    6.4000000000e+02    1.7970558165e-02    5.9751953125e-01
         1   -1.7265435251e+01    2.9824115448e+02   -3.0867152804e+01    1.3601717553e+01    1.7165639696e+01   -5.7037687804e+01    2.0241320585e+00    6.9807632464e+00    6.4000000000e+02    1.8020957004e-02    5.9682617187e-01
         2   -1.7264006282e+01    2.9817567947e+02   -3.0915470954e+01    1.3651464672e+01    1.7289537769e+01   -5.7191485655e+01    2.0057136854e+00    6.9807632464e+00    6.4000000000e+02    1.8020083075e-02    5.9758789062e-01
         3   -1.7270458437e+01    2.9843922484e+02   -3.0956215775e+01    1.3685757338e+01    1.7075295344e+01   -5.6912210351e+01    1.8999359860e+00    6.9807632464e+00    6.4000000000e+02    1.7984813900e-02    5.9478515625e-01
         4   -1.7245706822e+01    2.9759815965e+02   -3.1202212659e+01    1.3956505837e+01    1.7078029650e+01   -5.6952245634e+01    1.6912400785e+00    6.9807632464e+00    6.4000000000e+02    1.7966797969e-02    5.9671875000e-01
         5   -1.7259712404e+01    2.9802314275e+02   -3.0741846123e+01    1.3482133719e+01    1.7201444189e+01   -5.6704352687e+01    1.7802991282e+00    6.9807632464e+00    6.4000000000e+02    1.7994387115e-02    5.9688476563e-01
         6   -1.7279309688e+01    2.9876524075e+02   -3.1317731724e+01    1.4038422036e+01    1.7187430269e+01   -5.7310586088e+01    1.8246608488e+00    6.9807632464e+00    6.4000000000e+02    1.7994598547e-02    5.9823242188e-01
         7   -1.7230924304e+01    2.9717022101e+02   -3.1487326516e+01    1.4256402211e+01    1.7288653083e+01   -5.7721717893e+01    1.9649750478e+00    6.9807632464e+00    6.4000000000e+02    1.7983728959e-02    5.9707031250e-01
         8   -1.7243877755e+01    2.9756779601e+02   -3.0853083491e+01    1.3609205737e+01    1.7270595750e+01   -5.7043899961e+01    1.9394574733e+00    6.9807632464e+00    6.4000000000e+02    1.8002021516e-02    5.9482421875e-01
         9   -1.7244591055e+01    2.9752012518e+02   -3.1203160770e+01    1.3958569715e+01    1.6925161363e+01   -5.7143798984e+01    2.0347136048e+00    6.9807632464e+00    6.4000000000e+02    1.7982387063e-02    5.9841796875e-01
