#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7179178928e+01    2.9568529650e+02   -3.0196666534e+01    1.3017487607e+01    1.7084200435e+01   -5.6313147542e+01    2.0515173263e+00    6.9807632464e+00    6.4000000000e+02    1.7636968981e-02    6.0279296875e-01
         1   -1.7208697141e+01    2.9717481447e+02   -3.0356013677e+01    1.3147316536e+01    1.7185479965e+01   -5.6461228708e+01    1.9389718195e+00    6.9807632464e+00    6.4000000000e+02    1.7657013572e-02    6.0176757813e-01
         2   -1.7148487483e+01    2.9472464722e+02   -3.0495803108e+01    1.3347315624e+01    1.7083072198e+01   -5.6219333699e+01    1.6596951473e+00    6.9807632464e+00    6.4000000000e+02    1.7618682306e-02    6.0209960938e-01
         3   -1.7114342638e+01    2.9367111745e+02   -3.0719691944e+01    1.3605349306e+01    1.7284642173e+01   -5.6767145664e+01    1.7820482997e+00    6.9807632464e+00    6.4000000000e+02    1.7625097700e-02    5.9792968750e-01
         4   -1.7144220041e+01    2.9447008198e+02   -3.1003754008e+01    1.3859533967e+01    1.7240394828e+01   -5.6963519093e+01    1.7386070106e+00    6.9807632464e+00    6.4000000000e+02    1.7651603809e-02    6.0238281250e-01
         5   -1.7151917562e+01    2.9474368406e+02   -3.0832318218e+01    1.3680400656e+01    1.7151065936e+01   -5.6898327181e+01    1.9341797809e+00    6.9807632464e+00    6.4000000000e+02    1.7603672331e-02    6.0360351563e-01
         6   -1.7170984117e+01    2.9543935224e+02   -3.0680648020e+01    1.3509663903e+01    1.6959328717e+01   -5.6305311286e+01    1.6845713027e+00    6.9807632464e+00    6.4000000000e+02    1.7602026151e-02    6.0265625000e-01
         7   -1.7149858036e+01    2.9472533842e+02   -3.0591604892e+01    1.3441746856e+01    1.7251531522e+01   -5.6881048699e+01    2.0571490383e+00    6.9807632464e+00    6.4000000000e+02    1.7610755347e-02    6.0204101563e-01
         8   -1.7129423712e+01    2.9404315603e+02   -3.0185125562e+01    1.3055701851e+01    1.6960859719e+01   -5.6266795481e+01    2.1400469540e+00    6.9807632464e+00    6.4000000000e+02    1.7588035528e-02    6.0232421875e-01
         9   -1.7118790816e+01    2.9370932120e+02   -3.0731978688e+01    1.3613187872e+01    1.7265340654e+01   -5.6983061268e+01    2.0049786791e+00    6.9807632464e+00    6.4000000000e+02    1.7622645847e-02    5.9894531250e-01
        10   -1.7209783555e+01    2.9670118657e+02   -3.1004628711e+01    1.3794845156e+01    1.7116320095e+01   -5.6987380615e+01    1.8856685627e+00    6.9807632464e+00    6.4000000000e+02    1.7634377072e-02    6.0251953125e-01
        11   -1.7147749432e+01    2.9464587467e+02   -3.0952247328e+01    1.3804497896e+01    1.7426299121e+01   -5.7646872367e+01    2.2875626727e+00    6.9807632464e+00    6.4000000000e+02    1.7614269532e-02    6.0202148438e-01
        12   -1.7068946354e+01    2.9199462097e+02   -3.0795058740e+01    1.3726112386e+01    1.7480076620e+01   -5.7256932205e+01    2.0010335982e+00    6.9807632464e+00    6.4000000000e+02    1.7623781622e-02    6.0236328125e-01
        13   -1.7121129049e+01    2.9392791358e+02   -3.0402606311e+01    1.3281477262e+01    1.7367556773e+01   -5.6921336356e+01    2.1704100251e+00    6.9807632464e+00    6.4000000000e+02    1.7612108325e-02    5.9725585938e-01
        14   -1.7148599754e+01    2.9475494123e+02   -3.0835455430e+01    1.3686855676e+01    1.7012635405e+01   -5.7278007593e+01    2.4491535116e+00    6.9807632464e+00    6.4000000000e+02    1.7587924400e-02    6.0323242188e-01
        15   -1.7202926937e+01    2.9650077970e+02   -3.0793297269e+01    1.3590370331e+01    1.7391515425e+01   -5.7129659790e+01    1.9640838500e+00    6.9807632464e+00    6.4000000000e+02    1.7635690138e-02    6.0201171875e-01
        16   -1.7205708630e+01    2.9703364332e+02   -3.1011069589e+01    1.3805360959e+01    1.7207964764e+01   -5.7084592403e+01    1.8847948037e+00    6.9807632464e+00    6.4000000000e+02    1.7596596825e-02    5.9798828125e-01
        17   -1.7155947090e+01    2.9493149096e+02   -3.0674624035e+01    1.3518676945e+01    1.7240973876e+01   -5.6696577308e+01    1.8002161509e+00    6.9807632464e+00    6.4000000000e+02    1.7606958316e-02    6.0057617188e-01
        18   -1.7162294539e+01    2.9511040200e+02   -3.0677822195e+01    1.3515527655e+01    1.7139565965e+01   -5.6749501051e+01    1.9513496451e+00    6.9807632464e+00    6.4000000000e+02    1.7613125903e-02    6.0222656250e-01
        19   -1.7171838273e+01    2.9562951435e+02   -3.0652360301e+01    1.3480522028e+01    1.7284181764e+01   -5.6626430180e+01    1.7091248689e+00    6.9807632464e+00    6.4000000000e+02    1.7623796981e-02    6.0647460937e-01
        20   -1.7124461898e+01    2.9382186393e+02   -3.1297246645e+01    1.4172784747e+01    1.7406928304e+01   -5.7368119074e+01    1.6831808783e+00    6.9807632464e+00    6.4000000000e+02    1.7601140397e-02    6.0238281250e-01
        21   -1.7201621501e+01    2.9651799298e+02   -3.0601923258e+01    1.3400301758e+01    1.7211341943e+01   -5.6932730559e+01    2.1387021116e+00    6.9807632464e+00    6.4000000000e+02    1.7589951613e-02    6.0387695312e-01
        22   -1.7163962094e+01    2.9515639521e+02   -3.0667753899e+01    1.3503791805e+01    1.7199578202e+01   -5.6879738976e+01    2.0316436287e+00    6.9807632464e+00    6.4000000000e+02    1.7592887287e-02    6.0398437500e-01
        23   -1.7163913803e+01    2.9514471188e+02   -3.0500959256e+01    1.3337045452e+01    1.7126383454e+01   -5.6638780024e+01    2.0306740682e+00    6.9807632464e+00    6.4000000000e+02    1.7587309084e-02    6.0123046875e-01
        24   -1.7087629755e+01    2.9255595284e+02   -3.0273138075e+01    1.3185508321e+01    1.7368792947e+01   -5.6726177068e+01    2.1034828001e+00    6.9807632464e+00    6.4000000000e+02    1.7592045791e-02    6.0106445313e-01
        25   -1.7128700944e+01    2.9392302139e+02   -3.0674085281e+01    1.3545384338e+01    1.7303159017e+01   -5.6861399326e+01    1.9033917808e+00    6.9807632464e+00    6.4000000000e+02    1.7599179719e-02    6.0126953125e-01
        26   -1.7174731292e+01    2.9566344167e+02   -3.0660451977e+01    1.3485720686e+01    1.7146015319e+01   -5.6730381669e+01    1.9431511262e+00    6.9807632464e+00    6.4000000000e+02    1.7613592612e-02    6.0150390625e-01
        27   -1.7107545810e+01    2.9343924129e+02   -3.0323907701e+01    1.3216361891e+01    1.7088155460e+01   -5.6191986034e+01    1.7991596270e+00    6.9807632464e+00    6.4000000000e+02    1.7603998094e-02    6.0318359375e-01
        28   -1.7115437793e+01    2.9354958887e+02   -3.0581673699e+01    1.3466235906e+01    1.7124934467e+01   -5.6775150199e+01    2.0877787869e+00    6.9807632464e+00    6.4000000000e+02    1.7601144534e-02    6.0450195313e-01
        29   -1.7165140722e+01    2.9523273470e+02   -3.0874307118e+01    1.3709166396e+01    1.7390705917e+01   -5.7550258806e+01    2.3044825242e+00    6.9807632464e+00    6.4000000000e+02    1.7625375134e-02    6.0166015625e-01
