#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7269374896e+01    2.9848253793e+02   -3.0932224018e+01    1.3662849123e+01    1.6900494482e+01   -5.6516856453e+01    1.7033747064e+00    6.9807632464e+00    6.4000000000e+02    2.0534645190e-02    5.9544921875e-01
         1   -1.7248274581e+01    2.9775813907e+02   -3.0392976520e+01    1.3144701939e+01    1.6936662258e+01   -5.6087715482e+01    1.7773134574e+00    6.9807632464e+00    6.4000000000e+02    2.0534177637e-02    5.9619140625e-01
         2   -1.7267604159e+01    2.9899833218e+02   -3.0497273038e+01    1.3229668879e+01    1.7206902758e+01   -5.6763961234e+01    2.0790221912e+00    6.9807632464e+00    6.4000000000e+02    2.0548710019e-02    5.9781250000e-01
         3   -1.7233083980e+01    2.9734071199e+02   -3.1314056458e+01    1.4080972477e+01    1.7102075570e+01   -5.7086159145e+01    1.6892638708e+00    6.9807632464e+00    6.4000000000e+02    2.0551691631e-02    5.9822265625e-01
         4   -1.7213436768e+01    2.9657794513e+02   -3.0922961212e+01    1.3709524444e+01    1.7156041604e+01   -5.7005650848e+01    1.9458847860e+00    6.9807632464e+00    6.4000000000e+02    2.0503781850e-02    5.9919921875e-01
         5   -1.7235204576e+01    2.9729368636e+02   -3.0622262009e+01    1.3387057433e+01    1.7003415365e+01   -5.6514122344e+01    1.9076817228e+00    6.9807632464e+00    6.4000000000e+02    2.0495713734e-02    5.9828125000e-01
         6   -1.7224233555e+01    2.9689645118e+02   -3.0639712008e+01    1.3415478453e+01    1.6934712823e+01   -5.6607300051e+01    2.0521119737e+00    6.9807632464e+00    6.4000000000e+02    2.0484139800e-02    5.9510742188e-01
         7   -1.7212210449e+01    2.9645607185e+02   -3.0452547995e+01    1.3240337546e+01    1.6894451592e+01   -5.6245626374e+01    1.9178635412e+00    6.9807632464e+00    6.4000000000e+02    2.0488538525e-02    5.9584960938e-01
         8   -1.7251188422e+01    2.9818865943e+02   -3.1132280555e+01    1.3881092133e+01    1.7057771255e+01   -5.6970466249e+01    1.7996511918e+00    6.9807632464e+00    6.4000000000e+02    2.0506493697e-02    5.9970703125e-01
         9   -1.7240481096e+01    2.9752873627e+02   -3.0924627342e+01    1.3684146246e+01    1.7149594370e+01   -5.7261933182e+01    2.2069482234e+00    6.9807632464e+00    6.4000000000e+02    2.0501739369e-02    6.0015625000e-01
        10   -1.7256306985e+01    2.9807332379e+02   -3.0420801273e+01    1.3164494288e+01    1.6900415175e+01   -5.6176655450e+01    1.8746757552e+00    6.9807632464e+00    6.4000000000e+02    2.0493950075e-02    5.9853515625e-01
        11   -1.7253016444e+01    2.9804130227e+02   -3.1052288549e+01    1.3799272106e+01    1.7127762970e+01   -5.7107855576e+01    1.9470408103e+00    6.9807632464e+00    6.4000000000e+02    2.0474313206e-02    5.9814453125e-01
        12   -1.7254194482e+01    2.9793982486e+02   -3.0903890640e+01    1.3649696158e+01    1.6893101843e+01   -5.6734965701e+01    1.9572099713e+00    6.9807632464e+00    6.4000000000e+02    2.0483292810e-02    5.9884765625e-01
        13   -1.7246798654e+01    2.9777125787e+02   -3.1167542873e+01    1.3920744219e+01    1.6897266122e+01   -5.6651260550e+01    1.6056883085e+00    6.9807632464e+00    6.4000000000e+02    2.0461702503e-02    5.9657226563e-01
        14   -1.7211340197e+01    2.9693452612e+02   -3.0523766748e+01    1.3312426551e+01    1.7067400780e+01   -5.6862248989e+01    2.2903182143e+00    6.9807632464e+00    6.4000000000e+02    2.0488733272e-02    6.0143554688e-01
        15   -1.7263080863e+01    2.9824948103e+02   -3.0705914761e+01    1.3442833898e+01    1.6934708503e+01   -5.6662619345e+01    2.0412328345e+00    6.9807632464e+00    6.4000000000e+02    2.0480342841e-02    5.9384765625e-01
        16   -1.7273953628e+01    2.9879996327e+02   -3.0898160800e+01    1.3624207172e+01    1.6984491408e+01   -5.6790763067e+01    1.9273476124e+00    6.9807632464e+00    6.4000000000e+02    2.0475690485e-02    5.9914062500e-01
        17   -1.7219254563e+01    2.9682496297e+02   -3.0453601493e+01    1.3234346931e+01    1.6736928146e+01   -5.6081437700e+01    1.9101448150e+00    6.9807632464e+00    6.4000000000e+02    2.0450757906e-02    5.9635742187e-01
        18   -1.7270504212e+01    2.9849479652e+02   -3.0672334331e+01    1.3401830120e+01    1.6888665871e+01   -5.6102582158e+01    1.5608187097e+00    6.9807632464e+00    6.4000000000e+02    2.0469541634e-02    5.9969726563e-01
        19   -1.7244697107e+01    2.9765409102e+02   -3.1211793311e+01    1.3967096204e+01    1.7182701957e+01   -5.7283567420e+01    1.9083089059e+00    6.9807632464e+00    6.4000000000e+02    2.0493179753e-02    5.9822265625e-01
        20   -1.7255808312e+01    2.9795255405e+02   -3.0468681885e+01    1.3212873574e+01    1.6796775992e+01   -5.6160302134e+01    1.9140810105e+00    6.9807632464e+00    6.4000000000e+02    2.0457104150e-02    5.9626953125e-01
        21   -1.7246995785e+01    2.9771326714e+02   -3.0232153336e+01    1.2985157551e+01    1.7006247502e+01   -5.6381927034e+01    2.1627629494e+00    6.9807632464e+00    6.4000000000e+02    2.0453239157e-02    5.9946289063e-01
        22   -1.7248528295e+01    2.9810908399e+02   -3.1055945237e+01    1.3807416942e+01    1.7231967311e+01   -5.6917410785e+01    1.6487349911e+00    6.9807632464e+00    6.4000000000e+02    2.0502801344e-02    5.9340820313e-01
        23   -1.7235295309e+01    2.9736880992e+02   -3.0965847567e+01    1.3730552259e+01    1.7073975936e+01   -5.6980224905e+01    1.9596381559e+00    6.9807632464e+00    6.4000000000e+02    2.0455072556e-02    5.9655273438e-01
        24   -1.7227787099e+01    2.9706195965e+02   -3.0894047466e+01    1.3666260367e+01    1.7037279306e+01   -5.6538987930e+01    1.6268979123e+00    6.9807632464e+00    6.4000000000e+02    2.0490129719e-02    5.9761718750e-01
        25   -1.7310658142e+01    3.0083356968e+02   -3.0563001314e+01    1.3252343173e+01    1.7031611783e+01   -5.6865109901e+01    2.2897335573e+00    6.9807632464e+00    6.4000000000e+02    2.0468932528e-02    5.9363281250e-01
        26   -1.7271154950e+01    2.9898970500e+02   -3.1464936659e+01    1.4193781709e+01    1.7173331841e+01   -5.7471388057e+01    1.8523563104e+00    6.9807632464e+00    6.4000000000e+02    2.0502078997e-02    5.9460937500e-01
