#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7252905901e+01    2.9779832880e+02   -3.1060706521e+01    1.3807800621e+01    1.7068458198e+01   -5.7107379908e+01    1.9974519425e+00    6.9807632464e+00    6.4000000000e+02    3.2298063160e-02    5.9918945313e-01
         1   -1.7276041895e+01    2.9867072242e+02   -3.0965541751e+01    1.3689499857e+01    1.7010059641e+01   -5.6995597821e+01    2.0392331827e+00    6.9807632464e+00    6.4000000000e+02    3.2278138791e-02    5.9771484375e-01
         2   -1.7262150574e+01    2.9809711251e+02   -3.0499342826e+01    1.3237192252e+01    1.6933996363e+01   -5.6376898224e+01    1.9627957888e+00    6.9807632464e+00    6.4000000000e+02    3.2278351935e-02    5.9939453125e-01
         3   -1.7244374169e+01    2.9752305179e+02   -3.1260493664e+01    1.4016119495e+01    1.7111870222e+01   -5.7325410369e+01    1.9722832367e+00    6.9807632464e+00    6.4000000000e+02    3.2249129203e-02    5.9951171875e-01
         4   -1.7261455208e+01    2.9808062045e+02   -3.0938103771e+01    1.3676648563e+01    1.6911875035e+01   -5.6554481149e+01    1.7237390961e+00    6.9807632464e+00    6.4000000000e+02    3.2245313962e-02    5.9750000000e-01
         5   -1.7246016373e+01    2.9755493118e+02   -3.0856981189e+01    1.3610964817e+01    1.6962376884e+01   -5.6913516812e+01    2.1133954929e+00    6.9807632464e+00    6.4000000000e+02    3.2223346522e-02    6.0093750000e-01
         6   -1.7216399121e+01    2.9656183586e+02   -3.0782422437e+01    1.3566023316e+01    1.7079400468e+01   -5.6933464365e+01    2.0908782140e+00    6.9807632464e+00    6.4000000000e+02    3.2187084737e-02    6.0120117187e-01
         7   -1.7251474075e+01    2.9786978168e+02   -3.0851187046e+01    1.3599712972e+01    1.6762645415e+01   -5.6378552154e+01    1.7839564460e+00    6.9807632464e+00    6.4000000000e+02    3.2196039526e-02    5.9776367188e-01
         8   -1.7261400927e+01    2.9811841224e+02   -3.0973057159e+01    1.3711656232e+01    1.7061429943e+01   -5.6908014635e+01    1.8927642868e+00    6.9807632464e+00    6.4000000000e+02    3.2224011394e-02    5.9617187500e-01
         9   -1.7257315057e+01    2.9795386878e+02   -3.0685248372e+01    1.3427933315e+01    1.7015004906e+01   -5.6485844632e+01    1.8048281078e+00    6.9807632464e+00    6.4000000000e+02    3.2217021247e-02    5.9872070313e-01
        10   -1.7267821618e+01    2.9831766064e+02   -3.1278087271e+01    1.4010265653e+01    1.6965985744e+01   -5.6663095388e+01    1.4382591264e+00    6.9807632464e+00    6.4000000000e+02    3.2195680491e-02    5.9424804687e-01
        11   -1.7260845482e+01    2.9805071756e+02   -3.0669575557e+01    1.3408730075e+01    1.6959439982e+01   -5.6274226848e+01    1.6644480625e+00    6.9807632464e+00    6.4000000000e+02    3.2227597753e-02    5.9967773438e-01
        12   -1.7240153550e+01    2.9740501495e+02   -3.0448301156e+01    1.3208147606e+01    1.6819970581e+01   -5.6433650509e+01    2.1846155254e+00    6.9807632464e+00    6.4000000000e+02    3.2197208938e-02    6.0375000000e-01
        13   -1.7259828662e+01    2.9804549196e+02   -3.1113383705e+01    1.3853555043e+01    1.7142089654e+01   -5.7230194749e+01    1.9939581440e+00    6.9807632464e+00    6.4000000000e+02    3.2225812787e-02    5.9902343750e-01
        14   -1.7263141159e+01    2.9815961536e+02   -3.0913942371e+01    1.3650801212e+01    1.7015729555e+01   -5.6857420701e+01    1.9469855280e+00    6.9807632464e+00    6.4000000000e+02    3.2195251501e-02    5.9868164063e-01
        15   -1.7272955473e+01    2.9848627791e+02   -3.0561260809e+01    1.3288305335e+01    1.7129645866e+01   -5.6761823067e+01    2.0901531461e+00    6.9807632464e+00    6.4000000000e+02    3.2241267472e-02    5.9570312500e-01
        16   -1.7239134239e+01    2.9738691710e+02   -3.0523323963e+01    1.3284189724e+01    1.6881194279e+01   -5.6210298416e+01    1.8250169281e+00    6.9807632464e+00    6.4000000000e+02    3.2180834884e-02    5.9617187500e-01
        17   -1.7257926642e+01    2.9798221294e+02   -3.1036731990e+01    1.3778805347e+01    1.7128678713e+01   -5.6720965592e+01    1.5747916435e+00    6.9807632464e+00    6.4000000000e+02    3.2253137081e-02    5.9936523438e-01
        18   -1.7286615611e+01    2.9908918636e+02   -3.1150786743e+01    1.3864171132e+01    1.6935269943e+01   -5.6751257625e+01    1.6844376934e+00    6.9807632464e+00    6.4000000000e+02    3.2222974375e-02    5.9769531250e-01
        19   -1.7254366755e+01    2.9786737576e+02   -3.0770367018e+01    1.3516000263e+01    1.7038702875e+01   -5.6494764739e+01    1.7049315996e+00    6.9807632464e+00    6.4000000000e+02    3.2183692856e-02    5.9537109375e-01
        20   -1.7238071824e+01    2.9726925276e+02   -3.0720310517e+01    1.3482238693e+01    1.7011668639e+01   -5.6753458532e+01    2.0407161288e+00    6.9807632464e+00    6.4000000000e+02    3.2192589285e-02    5.9402343750e-01
        21   -1.7242853116e+01    2.9745780726e+02   -3.0953618502e+01    1.3710765386e+01    1.6966264558e+01   -5.6747092673e+01    1.8464463669e+00    6.9807632464e+00    6.4000000000e+02    3.2200853219e-02    5.9858398438e-01
        22   -1.7224302020e+01    2.9684282610e+02   -3.0882276376e+01    1.3657974356e+01    1.6914531013e+01   -5.6638593973e+01    1.8610233379e+00    6.9807632464e+00    6.4000000000e+02    3.2195849250e-02    6.0008789063e-01
        23   -1.7282903563e+01    2.9882399295e+02   -3.0521915235e+01    1.3239011672e+01    1.6949719242e+01   -5.6324513205e+01    1.8721154817e+00    6.9807632464e+00    6.4000000000e+02    3.2175709191e-02    5.9584960938e-01
        24   -1.7262099821e+01    2.9812651777e+02   -3.1236475762e+01    1.3974375942e+01    1.7230053445e+01   -5.7700421965e+01    2.2531295114e+00    6.9807632464e+00    6.4000000000e+02    3.2230189829e-02    5.9481445313e-01
        25   -1.7245666141e+01    2.9762645340e+02   -3.1051449829e+01    1.3805783687e+01    1.6966342209e+01   -5.6519128293e+01    1.5205730095e+00    6.9807632464e+00    6.4000000000e+02    3.2223900747e-02    5.9875976563e-01
        26   -1.7286152663e+01    2.9897849805e+02   -3.0673706757e+01    1.3387554094e+01    1.7079254963e+01   -5.6587411700e+01    1.8536867340e+00    6.9807632464e+00    6.4000000000e+02    3.2193969156e-02    5.9885742187e-01
        27   -1.7248820153e+01    2.9771546217e+02   -3.0227307722e+01    1.2978487569e+01    1.7014949106e+01   -5.6182189416e+01    1.9591693422e+00    6.9807632464e+00    6.4000000000e+02    3.2198859763e-02    5.9852539062e-01
        28   -1.7286081389e+01    2.9901713341e+02   -3.0993177032e+01    1.3707095644e+01    1.7099618316e+01   -5.6588130432e+01    1.5145718376e+00    6.9807632464e+00    6.4000000000e+02    3.2232731191e-02    5.9652343750e-01
        29   -1.7254427449e+01    2.9786979327e+02   -3.1053419102e+01    1.3798991653e+01    1.7034768301e+01   -5.7029091988e+01    1.9601413390e+00    6.9807632464e+00    6.4000000000e+02    3.2252141806e-02    5.9849609375e-01
        30   -1.7265475535e+01    2.9823210774e+02   -3.0864651475e+01    1.3599175940e+01    1.7182328126e+01   -5.7244141761e+01    2.2163989138e+00    6.9807632464e+00    6.4000000000e+02    3.2215012068e-02    5.9688476563e-01
        31   -1.7253051877e+01    2.9781275015e+02   -3.0558672570e+01    1.3305620694e+01    1.6943124598e+01   -5.6455283912e+01    1.9727234976e+00    6.9807632464e+00    6.4000000000e+02    3.2214419081e-02    5.9955078125e-01
        32   -1.7249591059e+01    2.9769628689e+02   -3.0727566917e+01    1.3477975857e+01    1.6901480617e+01   -5.6394520636e+01    1.7847098560e+00    6.9807632464e+00    6.4000000000e+02    3.2189705488e-02    5.9873046875e-01
        33   -1.7258877778e+01    2.9807083866e+02   -3.1412708370e+01    1.4153830592e+01    1.6917308489e+01   -5.7161979963e+01    1.8511998572e+00    6.9807632464e+00    6.4000000000e+02    3.2218472353e-02    5.9867187500e-01
        34   -1.7272992469e+01    2.9847658089e+02   -3.0850243921e+01    1.3577251452e+01    1.6932291446e+01   -5.6705215301e+01    1.9419166872e+00    6.9807632464e+00    6.4000000000e+02    3.2220248950e-02    5.9911132812e-01
